,0
0,https://www.1mg.com/drugs/tretin-0.025-cream-147582
1,https://www.1mg.com/drugs/deriva-cms-gel-156191
2,https://www.1mg.com/otc/kapiva-tulsi-anti-acne-serum-otc792898
3,https://www.1mg.com/otc/acnemoist-cream-otc340541
4,https://www.1mg.com/drugs/benzac-ac-2.5-gel-678551
5,https://www.1mg.com/drugs/benzonix-gel-wash-515135
6,https://www.1mg.com/otc/foxtale-combo-pack-of-hydrating-cleanser-100ml-acne-spot-corrector-gel-15ml-and-hydrating-moisturizer-50ml-otc789944
7,https://www.1mg.com/drugs/a-ret-0.1-gel-279453
8,https://www.1mg.com/drugs/tretin-0.05-cream-33121
9,https://www.1mg.com/drugs/perobar-5-cleansing-bar-59809
10,https://www.1mg.com/otc/acnestar-gel-otc358988
11,https://www.1mg.com/otc/acnestar-gel-otc358988
12,https://www.1mg.com/otc/ga-12-cream-otc415193
13,https://www.1mg.com/drugs/benxop-face-wash-151384
14,https://www.1mg.com/otc/baidyanath-jhansi-surakta-tonic-for-pimples-acne-for-females-tonic-otc760447
15,https://www.1mg.com/drugs/pernex-ac-2.5-gel-121772
16,https://www.1mg.com/drugs/paknet-creamy-wash-342301
17,https://www.1mg.com/drugs/cleargel-ap-gel-374364
18,https://www.1mg.com/otc/foxtale-acne-control-trio-kit-otc804715
19,https://www.1mg.com/drugs/a-ret-0.025-gel-140441
20,https://www.1mg.com/drugs/a-ret-0.05-gel-280591
21,https://www.1mg.com/drugs/peroclin-2.5-gel-151673
22,https://www.1mg.com/drugs/sebonac-gel-132392
23,https://www.1mg.com/drugs/persol-ac-2.5-gel-398087
24,https://www.1mg.com/otc/acrofy-moisturizer-for-acne-prone-skin-sebum-control-formula-oil-free-matte-effect-otc228004
25,https://www.1mg.com/drugs/nioclean-ad-gel-155001
26,https://www.1mg.com/drugs/sebozit-gel-677011
27,https://www.1mg.com/otc/logifeel-imf-cream-otc333894
28,https://www.1mg.com/drugs/adalene-nanogel-gel-134348
29,https://www.1mg.com/drugs/supatret-0.04-aqueous-gel-153497
30,https://www.1mg.com/drugs/clindac-ap-gel-652191
31,https://www.1mg.com/otc/persol-ac-5-gel-otc423698
32,https://www.1mg.com/drugs/acnesol-a-nano-gel-142805
33,https://www.1mg.com/drugs/supatret-c-aqueous-gel-142584
34,https://www.1mg.com/drugs/aclind-bp-2.5-gel-119919
35,https://www.1mg.com/drugs/trunex-ms-aqueous-gel-262772
36,https://www.1mg.com/otc/persol-forte-cream-otc329408
37,https://www.1mg.com/drugs/zitcare-foam-wash-494631
38,https://www.1mg.com/otc/tivenca-gel-otc342280
39,https://www.1mg.com/drugs/nioret-nano-gel-165421
40,https://www.1mg.com/drugs/acnovate-gel-166965
41,https://www.1mg.com/drugs/adaple-c-gel-184087
42,https://www.1mg.com/drugs/nilac-a-gel-139022
43,https://www.1mg.com/otc/pernex-ac-5-gel-otc111428
44,https://www.1mg.com/drugs/acnetor-ad-gel-223856
45,https://www.1mg.com/drugs/peroclin-5-gel-217882
46,https://www.1mg.com/drugs/aclind-bp-5-gel-119921
47,https://www.1mg.com/otc/kapiva-tulsi-anti-acne-serum-otc792898
48,https://www.1mg.com/drugs/acnicin-gel-141554
49,https://www.1mg.com/otc/apifil-lotion-otc294238
50,https://www.1mg.com/drugs/lacne-gel-232076
51,https://www.1mg.com/otc/foxtale-combo-pack-of-hydrating-cleanser-100ml-acne-spot-corrector-gel-15ml-and-hydrating-moisturizer-50ml-otc789944
52,https://www.1mg.com/drugs/tronin-ms-gel-388936
53,https://www.1mg.com/otc/aimil-purodil-anti-acne-gel-otc274857
54,https://www.1mg.com/otc/fixderma-salyzap-gel-for-acne-day-time-otc464594
55,https://www.1mg.com/otc/acnestar-gel-otc358988
56,https://www.1mg.com/otc/kitava-acne-buster-gel-otc512621
57,https://www.1mg.com/drugs/clinxa-a-gel-156729
58,https://www.1mg.com/drugs/nayzit-gel-343177
59,https://www.1mg.com/otc/baidyanath-jhansi-surakta-tonic-for-pimples-acne-for-females-tonic-otc760447
60,https://www.1mg.com/otc/azah-acne-patch-with-whitehead-absorbing-hydrocolloid-dots-of-8mm-10mm-and-12mm-size-otc818866
61,https://www.1mg.com/otc/furr-hydrocolloid-acne-relief-patch-otc785271
62,https://www.1mg.com/otc/dewderm-cream-otc125378
63,https://www.1mg.com/otc/foxtale-acne-control-trio-kit-otc804715
64,https://www.1mg.com/otc/aimil-purodil-anti-acne-gel-otc834273
65,https://www.1mg.com/otc/derma-angel-day-acne-patch-plus-otc769458
66,https://www.1mg.com/otc/baidyanath-jhansi-surakta-tonic-for-pimples-acne-for-females-tonic-otc760447
67,https://www.1mg.com/drugs/cutiwel-gel-332403
68,https://www.1mg.com/otc/kapiva-tulsi-anti-acne-serum-otc792898
69,https://www.1mg.com/otc/derma-angel-acne-day-patch-otc769430
70,https://www.1mg.com/otc/acnedew-anti-acne-anti-pimple-cream-otc750347
71,https://www.1mg.com/otc/ustraa-anti-acne-spot-gel-15ml-each-reduces-99.9-pimple-causing-germs-otc753871
72,https://www.1mg.com/otc/derma-angel-acne-night-patch-otc769454
73,https://www.1mg.com/otc/derma-angel-acne-night-patch-otc769453
74,https://www.1mg.com/otc/derma-angel-acne-day-patch-otc769429
75,https://www.1mg.com/drugs/wegamycin-a-gel-266077
76,https://www.1mg.com/otc/derma-angel-acne-night-patch-otc769455
77,https://www.1mg.com/otc/derma-angel-night-acne-patch-plus-otc769459
78,https://www.1mg.com/otc/acnedew-pimple-care-soap-75gm-each-otc821773
79,https://www.1mg.com/otc/ustraa-anti-acne-combo-pack-of-anti-acne-spot-gel-15ml-face-wash-200gm-otc736976
80,https://www.1mg.com/otc/maxisoft-ph-balanced-anti-acne-anti-pimple-cream-25gm-each-otc822538
81,https://www.1mg.com/otc/foxtale-combo-pack-of-hydrating-cleanser-100ml-acne-spot-corrector-gel-15ml-and-hydrating-moisturizer-50ml-otc789944
82,https://www.1mg.com/otc/xscar-gel-otc496657
83,https://www.1mg.com/otc/acnedew-pimple-care-soap-75gm-each-otc821774
84,https://www.1mg.com/otc/satthwa-anti-acne-gel-otc731609
85,https://www.1mg.com/otc/the-tribe-concepts-acne-spot-corrector-powder-otc779245
86,https://www.1mg.com/otc/foxtale-acne-control-trio-kit-otc804715
87,https://www.1mg.com/otc/acnedew-ph-balanced-anti-acne-anti-pimple-cream-25gm-each-otc821769
88,https://www.1mg.com/otc/pax-naturals-omega-3-softgel-capsule-otc806550
89,https://www.1mg.com/otc/hegaa-trusted-naturals-dymmb-face-wash-otc740208
90,https://www.1mg.com/otc/derma-angel-acne-day-patch-otc769431
91,https://www.1mg.com/otc/blosom-acne-face-treatment-cream-otc751627
92,https://www.1mg.com/otc/kapiva-tulsi-anti-acne-serum-otc792898
93,https://www.1mg.com/otc/acnedew-ph-balanced-anti-acne-anti-pimple-cream-25gm-each-otc821770
94,https://www.1mg.com/otc/conscious-chemist-flashfix-salicylic-acne-treatment-serum-otc727539
95,https://www.1mg.com/otc/maxisoft-ph-balanced-anti-acne-anti-pimple-cream-25gm-each-otc822539
96,https://www.1mg.com/otc/foxtale-combo-pack-of-hydrating-cleanser-100ml-acne-spot-corrector-gel-15ml-and-hydrating-moisturizer-50ml-otc789944
97,https://www.1mg.com/otc/ayur-champ-herbo-acne-cream-otc715541
98,https://www.1mg.com/otc/divya-shri-alarnil-capsule-otc833714
99,https://www.1mg.com/otc/maxisoft-ph-balanced-anti-acne-anti-pimple-cream-25gm-each-otc822540
100,https://www.1mg.com/otc/acnestar-gel-otc358988
101,https://www.1mg.com/otc/acnedew-pimple-care-soap-75gm-each-otc821775
102,https://www.1mg.com/otc/raskam-healthcare-apple-cider-vinegar-500mg-capsule-otc721798
103,https://www.1mg.com/otc/glyco-6-cream-otc337777
104,https://www.1mg.com/otc/revibra-a15-pure-retinol-vitamin-a-cream-fights-signs-of-early-aging-improves-skin-elasticity-otc347410
105,https://www.1mg.com/drugs/retino-a-0.025-cream-134931
106,https://www.1mg.com/otc/nmf-e-lip-care-gel-otc182342
107,https://www.1mg.com/drugs/retino-a-0.05-cream-62935
108,https://www.1mg.com/drugs/retino-ac-gel-161903
109,https://www.1mg.com/drugs/retino-a-micro-0.04-gel-162071
110,https://www.1mg.com/drugs/benzac-ac-5-gel-679396
111,https://www.1mg.com/drugs/retino-a-micro-0.1-gel-138663
112,https://www.1mg.com/drugs/bengel-ac-2.5-gel-145483
113,https://www.1mg.com/drugs/faceclin-at-gel-330518
114,https://www.1mg.com/otc/sebogel-salicylic-acid-nicotinamide-gel-30gm-each-otc714349
115,https://www.1mg.com/otc/acnedac-pimple-care-soap-otc750225
116,https://www.1mg.com/drugs/benzac-ac-5-gel-756788
117,https://www.1mg.com/otc/desquamar-s-soap-free-acne-gel-otc743393
118,https://www.1mg.com/otc/sebogel-salicylic-acid-nicotinamide-gel-30gm-each-otc714836
119,https://www.1mg.com/otc/shower-to-shower-cologen-cool-prickly-heat-powder-otc829015
120,https://www.1mg.com/otc/be-bodywise-hydrocolloid-acne-patch-otc819776
121,https://www.1mg.com/otc/shower-to-shower-super-cool-with-mint-prickly-heat-powder-otc829014
122,https://www.1mg.com/otc/shower-to-shower-sandal-prickly-heat-powder-otc829013
123,https://www.1mg.com/otc/sebogel-salicylic-acid-nicotinamide-gel-30gm-each-otc714352
124,https://www.1mg.com/otc/himalaya-pure-herbs-neem-tablet-60-each-otc856704
125,https://www.1mg.com/otc/sebogel-salicylic-acid-nicotinamide-gel-30gm-each-otc714354
126,https://www.1mg.com/otc/acnedew-pimple-care-soap-otc750222
127,https://www.1mg.com/otc/sebogel-salicylic-acid-nicotinamide-gel-30gm-each-otc714355
128,https://www.1mg.com/otc/bbold-dissolvable-microneedle-acne-patch-otc850041
