,0
0,https://www.1mg.com/otc/tata-1mg-antifungal-dusting-powder-for-sweat-rash-itching-skin-irritation-chafing-redness-otc806045
1,https://www.1mg.com/otc/candid-dusting-powder-otc663587
2,https://www.1mg.com/otc/candid-dusting-powder-otc663587
3,https://www.1mg.com/otc/abzorb-anti-fungal-dusting-powder-otc111649
4,https://www.1mg.com/otc/clocip-dusting-powder-otc204487
5,https://www.1mg.com/otc/candid-dusting-powder-otc651666
6,https://www.1mg.com/otc/canesten-antifungal-dusting-powder-otc329343
7,https://www.1mg.com/otc/canesten-antifungal-dusting-powder-otc296137
8,https://www.1mg.com/otc/new-abzorb-t-anti-fungal-cream-otc658634
9,https://www.1mg.com/otc/tetmosol-dusting-powder-anti-fungal-fresh-lime-fragnance-otc785866
10,https://www.1mg.com/otc/soreze-adult-diaper-rash-gel-30gm-each-otc788100
11,https://www.1mg.com/otc/atarax-anti-itch-lotion-quick-relief-from-itching-soothing-action-of-aloe-vera-glycerine-otc377891
12,https://www.1mg.com/drugs/livafin-cream-298255
13,https://www.1mg.com/otc/salyzap-body-spray-for-body-acne-otc329207
14,https://www.1mg.com/otc/abzorb-anti-fungal-dusting-powder-otc111649
15,https://www.1mg.com/drugs/arcolane-2-scalp-solution-152536
16,https://www.1mg.com/drugs/fungicide-lotion-75571
17,https://www.1mg.com/drugs/amrolstar-nail-lacquer-556252
18,https://www.1mg.com/otc/canesten-antifungal-dusting-powder-otc296137
19,https://www.1mg.com/drugs/fungicros-cream-541384
20,https://www.1mg.com/drugs/abzorb-antifungal-soap-554063
21,https://www.1mg.com/otc/megaheal-gel-otc120932
22,https://www.1mg.com/otc/soreze-adult-diaper-rash-gel-30gm-each-otc788099
23,https://www.1mg.com/drugs/fucidin-cream-10809
24,https://www.1mg.com/drugs/kz-lotion-33593
25,https://www.1mg.com/otc/zitcare-s-gel-otc340865
26,https://www.1mg.com/drugs/onabet-2-cream-177605
27,https://www.1mg.com/drugs/loceryl-nail-lacquer-59431
28,https://www.1mg.com/drugs/onabet-max-cream-376914
29,https://www.1mg.com/drugs/mycoderm-c-dusting-powder-sandalwood-fragrance-624756
30,https://www.1mg.com/drugs/ketostar-cream-385784
31,https://www.1mg.com/otc/clocip-dusting-powder-otc323270
32,https://www.1mg.com/drugs/candid-lotion-323977
33,https://www.1mg.com/drugs/kz-cream-33576
34,https://www.1mg.com/drugs/zocon-1-dusting-powder-140958
35,https://www.1mg.com/drugs/surfaz-cream-204626
36,https://www.1mg.com/drugs/candid-gold-dusting-powder-221759
37,https://www.1mg.com/drugs/fungicros-cream-351236
38,https://www.1mg.com/drugs/af-k-lotion-167036
39,https://www.1mg.com/drugs/flucos-dusting-powder-136073
40,https://www.1mg.com/drugs/onabet-lotion-249463
41,https://www.1mg.com/otc/nmf-e-urea-cream-otc341255
42,https://www.1mg.com/drugs/novale-bar-182238
43,https://www.1mg.com/drugs/imidil-cream-152717
44,https://www.1mg.com/drugs/livafin-cream-73887
45,https://www.1mg.com/otc/canesten-antifungal-dusting-powder-otc329343
46,https://www.1mg.com/otc/seboclear-lotion-otc241572
47,https://www.1mg.com/drugs/nuforce-dusting-powder-74390
48,https://www.1mg.com/otc/candid-dusting-powder-otc663587
49,https://www.1mg.com/drugs/loceryl-cream-59430
50,https://www.1mg.com/drugs/mycospor-cream-640886
51,https://www.1mg.com/drugs/kz-dusting-powder-468933
52,https://www.1mg.com/otc/canesten-antifungal-dusting-powder-otc329343
53,https://www.1mg.com/drugs/keto-dusting-powder-435692
54,https://www.1mg.com/drugs/leezole-dusting-powder-316855
55,https://www.1mg.com/otc/tetmosol-dusting-powder-anti-fungal-otc650292
56,https://www.1mg.com/otc/soreze-adult-diaper-rash-gel-30gm-each-otc788100
57,https://www.1mg.com/drugs/amorfine-cream-368765
58,https://www.1mg.com/drugs/surfaz-dusting-powder-301749
59,https://www.1mg.com/drugs/danstop-k-lotion-161584
60,https://www.1mg.com/otc/abzorb-anti-fungal-dusting-powder-otc111649
61,https://www.1mg.com/drugs/canrolfin-cream-474959
62,https://www.1mg.com/drugs/pamoria-cream-506077
63,https://www.1mg.com/drugs/amrolstar-cream-513507
64,https://www.1mg.com/otc/canesten-antifungal-dusting-powder-otc296137
65,https://www.1mg.com/otc/candid-dusting-powder-otc651664
66,https://www.1mg.com/drugs/tyza-dusting-powder-36449
67,https://www.1mg.com/drugs/af-c-dusting-powder-337751
68,https://www.1mg.com/otc/soreze-adult-diaper-rash-gel-30gm-each-otc788099
69,https://www.1mg.com/drugs/crousho-gel-341762
70,https://www.1mg.com/drugs/szhh-cream-515298
71,https://www.1mg.com/drugs/sertaspor-cream-350204
72,https://www.1mg.com/drugs/panderm-dusting-powder-148101
73,https://www.1mg.com/drugs/rolfin-cream-489570
74,https://www.1mg.com/drugs/flucos-lotion-240624
75,https://www.1mg.com/drugs/onecan-dusting-powder-166214
76,https://www.1mg.com/drugs/amluck-cream-385618
77,https://www.1mg.com/otc/vasu-cutis-dusting-powder-otc233918
78,https://www.1mg.com/drugs/amortas-cream-367940
79,https://www.1mg.com/drugs/terbinaforce-dusting-powder-296012
80,https://www.1mg.com/drugs/amortive-cream-389372
81,https://www.1mg.com/drugs/drez-powder-157965
82,https://www.1mg.com/otc/alloes-alodust-antifungal-clotrimazole-absorbent-powder-100gm-each-otc793804
83,https://www.1mg.com/otc/b-tex-white-ointment-14gm-each-otc859651
84,https://www.1mg.com/drugs/phytoral-dusting-powder-347406
85,https://www.1mg.com/drugs/niofine-dusting-powder-335250
86,https://www.1mg.com/drugs/ocona-z-lotion-153780
87,https://www.1mg.com/otc/b-tex-lotion-15ml-each-otc859665
