,0
0,https://www.1mg.com/otc/tata-1mg-antifungal-dusting-powder-for-sweat-rash-itching-skin-irritation-chafing-redness-otc806045
1,https://www.1mg.com/otc/tetmosol-dusting-powder-anti-fungal-fresh-lime-fragnance-otc785866
2,https://www.1mg.com/otc/cuticolor-hair-coloring-cream-black-otc346715
3,https://www.1mg.com/otc/biluma-cream-otc211890
4,https://www.1mg.com/otc/physiogel-hypoallergenic-calming-relief-a.i.-lotion-otc484220
5,https://www.1mg.com/otc/biluma-advance-skin-brightening-lotion-otc680408
6,https://www.1mg.com/otc/rashfree-cream-otc581149
7,https://www.1mg.com/otc/physiogel-hypoallergenic-daily-moisture-therapy-body-lotion-otc503904
8,https://www.1mg.com/otc/moisturex-cream-otc170273
9,https://www.1mg.com/otc/glyco-12-cream-otc154507
10,https://www.1mg.com/otc/venusia-max-intensive-moisturizing-cream-for-dry-very-dry-skin-repairs-smoothens-skin-cream-otc172235
11,https://www.1mg.com/otc/venusia-max-intensive-moisturizing-lotion-repairs-skin-provides-soft-smooth-skin-otc138728
12,https://www.1mg.com/otc/xerina-cream-otc131228
13,https://www.1mg.com/otc/physiogel-hypoallergenic-daily-moisture-therapy-cream-otc581096
14,https://www.1mg.com/otc/venusia-max-intensive-moisturizing-lotion-repairs-skin-provides-soft-smooth-skin-otc491752
15,https://www.1mg.com/otc/cotaryl-cream-otc622902
16,https://www.1mg.com/otc/melaglow-rich-cream-otc224958
17,https://www.1mg.com/otc/venusia-moisturizing-cream-otc529737
18,https://www.1mg.com/otc/moisturex-hydra-gel-cream-otc763538
19,https://www.1mg.com/otc/epilyno-lotion-otc329825
20,https://www.1mg.com/otc/yugard-anti-ageing-cream-otc60441
21,https://www.1mg.com/otc/acmist-moisturising-gel-otc389974
22,https://www.1mg.com/otc/physiogel-hypoallergenic-calming-relief-a.i-cream-otc485699
23,https://www.1mg.com/otc/alograce-moisturising-cream-with-aloevera-for-dry-to-normal-skin-sensitive-skin-otc173958
24,https://www.1mg.com/otc/bristaa-intense-steroid-free-cream-otc708441
25,https://www.1mg.com/otc/aldry-lotion-otc372586
26,https://www.1mg.com/otc/curatio-new-atogla-baby-moisturizing-lotion-otc665429
27,https://www.1mg.com/otc/u-lac-cream-otc270026
28,https://www.1mg.com/otc/golite-skin-cream-with-sunscreen-otc270243
29,https://www.1mg.com/otc/depiwhite-eye-contour-gel-otc125362
30,https://www.1mg.com/otc/biluma-advance-skin-brightening-face-wash-otc652795
31,https://www.1mg.com/otc/lacsoft-lotion-otc198914
32,https://www.1mg.com/otc/nmf-e-daily-moisturising-lotion-otc385852
33,https://www.1mg.com/otc/maxrich-yu-daily-use-cream-otc683287
34,https://www.1mg.com/otc/avarta-lightening-under-eye-cream-reduces-dark-circles-pigmentation-for-firm-under-eyes-skin-otc154742
35,https://www.1mg.com/otc/cosmelite-next-roll-on-lotion-otc677421
36,https://www.1mg.com/otc/rashfree-cream-otc581149
37,https://www.1mg.com/otc/biluma-advance-night-cream-otc708669
38,https://www.1mg.com/otc/venusia-derm-moisturizing-cream-for-face-body-nourishes-dry-skin-relieves-skin-irritation-otc612680
39,https://www.1mg.com/otc/karpin-lotion-2-bottles-otc272713
40,https://www.1mg.com/otc/emodel-cleansing-lotion-otc215868
41,https://www.1mg.com/otc/moisturex-soft-lotion-otc262038
42,https://www.1mg.com/otc/moisturex-soft-cream-otc214870
43,https://www.1mg.com/otc/moiz-lmf-48-lotion-otc249027
44,https://www.1mg.com/otc/cuticolor-hair-coloring-cream-black-otc346715
45,https://www.1mg.com/otc/cebhydra-moisturizing-cream-otc782385
46,https://www.1mg.com/otc/atogla-resyl-lotion-otc473342
47,https://www.1mg.com/otc/dewsoft-premia-cream-otc209946
48,https://www.1mg.com/otc/rashfree-cream-otc581149
49,https://www.1mg.com/otc/dermocalm-lotion-otc153995
50,https://www.1mg.com/otc/venusia-baby-intensive-moisturizing-lotion-otc774593
51,https://www.1mg.com/otc/excela-max-moisturiser-otc489907
52,https://www.1mg.com/otc/moisturex-soft-cream-otc130104
