,INCI name,INN name,Ph. Eur. Name,CAS No,EINECS/ELINCS No,Chem/IUPAC Name,Restriction,Function
0,ABIES BALSAMEA,,,85085-34-3,285-364-0,"Abies Balsamea Extract
is an extract of
the sprouts of Abies",,Film forming/hair conditioning
1,EXTRACT,,,,,"balsamea, Pinaceae",,
2,ABIES PECTINATA,,,92128-34-2,295-728-0,"Abies Pectinata Extract
is an extract of
the bark and needles",,Tonic/deodorant
3,EXTRACT,,,,,"of
the silver
fir, Abies pectinata, Pinaceae",,
4,ABIES PECTINATA OIL,,,92128-34-2,295-728-0,"Abies Pectinata Oil
is the volatile oil obtained from the",,Tonic/masking
5,,,,,,"needles of
the silver
fir, Abies pectinata, Pinaceae",,
6,ABIES SIBIRICA OIL,,,91697-89-1,294-351-9,"Abies Sibirica Oil
is the volatile oil distilled from the needles",,Tonic/masking
7,,,,,,"and branches of Abies sibirica, Pinaceae",,
8,ABIETIC ACID,,,514-10-3,208-178-3,Abietic acid,,Emulsion stabilising
9,ABIETYL ALCOHOL,,,666-84-2,211-564-4,"[1R-(1.alpha.,4a.beta.,4b.alpha.,10a.alpha.)]-",,Viscosity controlling
10,,,,,,"1,2,3,4,4a,4b,5,6,10,10a-decahydro-7-isopropyl-1,4a-",,
11,,,,,,dimethylphenanthren-1-methanol,,
12,ACACIA CATECHU,,,8001-76-1,232-291-7,"Acacia Catechu is the dried, crushed core of Acacia catechu,",,Hair dyeing/astringent
13,,,,,,Leguminosae,,
14,ACACIA CONCINNA,,,202148-87-6,,"Acacia Concinna Extract
is an extract of
the fruit of Acacia",,Skin conditioning
15,EXTRACT,,,,,"concinna, Leguminosae",,
16,ACACIA DEALBATA,,,165800-52-2,,"Acacia Dealbata Extract
is an extract of
the leaves of
the",,Skin conditioning
17,EXTRACT,,,,,"wattle, Acacia dealbata, Leguminosae",,
18,ACACIA DECURRENS,,,98903-76-5,308-877-4,"Accacia Decurrens Extract is an extract of
the sprouts of
the",,Tonic
19,EXTRACT,,,,,"acacia, Acacia decurrens, Leguminosae",,
20,ACACIA FARNESIANA,,,89958-31-6,289-655-3,"Acacia Farnesiana Extract
is an extract of
the flowers and",,Viscosity controlling/astringent
21,EXTRACT,,,,,"stems of
the acacia, Acacia farnesiana, Leguminosae",,
22,ACACIA FARNESIANA,,,2593593,232-519-5,Acacia Farnesiana Gum is a plant material derived from the,,Viscosity controlling/astringent
23,GUM,,,,,"dried, gummy exudate of acacia, Acacia farnesiana,",,
24,,,,,,Leguminosae,,
25,ACACIA SENEGAL,acacia,acaciae gummi,2593228,232-519-5,Gum arabic,,Viscosity controlling
26,ACACIA SENEGAL,,,97659-43-3,307-447-3,Acacia Senegal Extract is an extract of the flowers and stems,,Viscosity controlling
27,EXTRACT,,,,,"of
the acacia, Acacia senegal, Leguminosae",,
28,ACACIA SENEGAL GUM,,,90387-99-8,291-377-2,"Acacia Senegal Gum Extract
is an extract of
the gum of
the",,Viscosity controlling
29,EXTRACT,,,,,"acacia, Acacia senegal, Leguminosae",,
30,ACANTHOPANAX SENTI-,,,92346-80-0,296-164-8,Acanthopanax Senticosus Extract,is an extract of,the roots
31,COSUS EXTRACT,,,,,,"of eleuthero ginseng, Acanthopanax senticosus, Araliaceae",
32,ACER PSEUDOPLATANUS,,,90063-88-0,290-048-0,Acer Pseudoplatanus Extract,is an extract of,the leaves of
33,EXTRACT,,,,,"Acer pseudoplatanus, Aceraceae",,
34,ACER SACCHARINUM,,,91770-22-8,294-807-7,Acer Saccharinum Extract,is an extract of,the bark and sap
35,EXTRACT,,,,,of,"the sugar maple, Acer saccharinum, Aceraceae",
36,ACETALDEHYDE,,,75-07-0,200-836-8,Acetaldehyde,,
37,ACETAMIDE MEA,,,142-26-7,205-530-8,N-2-hydroxyethylacetamide,,
38,ACETAMIDOETHOXYBU-,,,221375-78-6,,,"Butanaminium, N,N, N-trimethyl-4-(2-acetamidoethoxy),",
39,TYL TRIMONIUM CHLOR-,,,,,chloride,,
40,IDE,,,,,,,
41,ACETAMIDOPROPYL TRI-,,,123776-56-7,,,"3-(acetylamino)-N, N,N-trimethyl-1-propanaminium chlor-",
42,MONIUM CHLORIDE,,,,,ide,,
43,ACETAMINOPHEN,paracetamol,paracetamolum,103-90-2,203-157-5,"Acetamide, N-(4-hydroxyphenyl)-",,
44,ACETAMINOSALOL,acetaminosalol,,118-57-0,204-261-3,,"Benzoic acid, 2-hydroxy-, 4-(acetylamino)phenyl ester",
45,ACETANILID,acetanilide,,103-84-4,203-150-7,Acetanilide,,
46,ACETIC ACID,acetic acid,acidum aceticum,64-19-7,200-580-7,Acetic acid,,
47,ACETONE,acetone,,67-64-1,200-662-2,Acetone,,
48,1-ACETOXY-2-METHYL-,,,1386868,,"1-Naphthalenol, 2-methyl-, acetate",,
49,NAPHTHALENE,,,,,,,
50,ACETUM,,,90132-02-8,290-419-7,"Vinegar, ext",,
51,ACETYL CYSTEINE,,,616-91-1,210-498-3,Acetylcysteine,,
52,ACETYL GLUCOSAMINE,,,10036-64-3,233-115-1,N-acetyl-.alpha.-D-glucosamine,,
53,ACETYL GLUTAMIC ACID,,,1188-37-0,214-708-4,N-acetylglutamic acid,,
54,ACETYL GLUTAMINE,,,35305-74-9,,"L-Glutamine, N-acetyl-",,
