,link,category
0,https://www.1mg.com/drugs/tretin-0.025-cream-147582,acne-pimples
2,https://www.1mg.com/otc/kapiva-tulsi-anti-acne-serum-otc792898,acne-pimples
3,https://www.1mg.com/otc/acnemoist-cream-otc340541,acne-pimples
4,https://www.1mg.com/drugs/benzac-ac-2.5-gel-678551,acne-pimples
5,https://www.1mg.com/drugs/benzonix-gel-wash-515135,acne-pimples
6,https://www.1mg.com/otc/foxtale-combo-pack-of-hydrating-cleanser-100ml-acne-spot-corrector-gel-15ml-and-hydrating-moisturizer-50ml-otc789944,acne-pimples
7,https://www.1mg.com/drugs/a-ret-0.1-gel-279453,acne-pimples
8,https://www.1mg.com/drugs/tretin-0.05-cream-33121,acne-pimples
9,https://www.1mg.com/drugs/perobar-5-cleansing-bar-59809,acne-pimples
10,https://www.1mg.com/otc/acnestar-gel-otc358988,acne-pimples
11,https://www.1mg.com/otc/acnestar-gel-otc358988,acne-pimples
12,https://www.1mg.com/otc/ga-12-cream-otc415193,acne-pimples
13,https://www.1mg.com/drugs/benxop-face-wash-151384,acne-pimples
14,https://www.1mg.com/otc/baidyanath-jhansi-surakta-tonic-for-pimples-acne-for-females-tonic-otc760447,acne-pimples
15,https://www.1mg.com/drugs/pernex-ac-2.5-gel-121772,acne-pimples
16,https://www.1mg.com/drugs/paknet-creamy-wash-342301,acne-pimples
17,https://www.1mg.com/drugs/cleargel-ap-gel-374364,acne-pimples
18,https://www.1mg.com/otc/foxtale-acne-control-trio-kit-otc804715,acne-pimples
19,https://www.1mg.com/drugs/a-ret-0.025-gel-140441,acne-pimples
20,https://www.1mg.com/drugs/a-ret-0.05-gel-280591,acne-pimples
21,https://www.1mg.com/drugs/peroclin-2.5-gel-151673,acne-pimples
22,https://www.1mg.com/drugs/sebonac-gel-132392,acne-pimples
23,https://www.1mg.com/drugs/persol-ac-2.5-gel-398087,acne-pimples
24,https://www.1mg.com/otc/acrofy-moisturizer-for-acne-prone-skin-sebum-control-formula-oil-free-matte-effect-otc228004,acne-pimples
25,https://www.1mg.com/drugs/nioclean-ad-gel-155001,acne-pimples
26,https://www.1mg.com/drugs/sebozit-gel-677011,acne-pimples
27,https://www.1mg.com/otc/logifeel-imf-cream-otc333894,acne-pimples
28,https://www.1mg.com/drugs/adalene-nanogel-gel-134348,acne-pimples
29,https://www.1mg.com/drugs/supatret-0.04-aqueous-gel-153497,acne-pimples
30,https://www.1mg.com/drugs/clindac-ap-gel-652191,acne-pimples
31,https://www.1mg.com/otc/persol-ac-5-gel-otc423698,acne-pimples
32,https://www.1mg.com/drugs/acnesol-a-nano-gel-142805,acne-pimples
33,https://www.1mg.com/drugs/supatret-c-aqueous-gel-142584,acne-pimples
34,https://www.1mg.com/drugs/aclind-bp-2.5-gel-119919,acne-pimples
35,https://www.1mg.com/drugs/trunex-ms-aqueous-gel-262772,acne-pimples
36,https://www.1mg.com/otc/persol-forte-cream-otc329408,acne-pimples
37,https://www.1mg.com/drugs/zitcare-foam-wash-494631,acne-pimples
38,https://www.1mg.com/otc/tivenca-gel-otc342280,acne-pimples
39,https://www.1mg.com/drugs/nioret-nano-gel-165421,acne-pimples
40,https://www.1mg.com/drugs/acnovate-gel-166965,acne-pimples
41,https://www.1mg.com/drugs/adaple-c-gel-184087,acne-pimples
42,https://www.1mg.com/drugs/nilac-a-gel-139022,acne-pimples
43,https://www.1mg.com/otc/pernex-ac-5-gel-otc111428,acne-pimples
44,https://www.1mg.com/drugs/acnetor-ad-gel-223856,acne-pimples
45,https://www.1mg.com/drugs/peroclin-5-gel-217882,acne-pimples
46,https://www.1mg.com/drugs/aclind-bp-5-gel-119921,acne-pimples
47,https://www.1mg.com/otc/kapiva-tulsi-anti-acne-serum-otc792898,acne-pimples
48,https://www.1mg.com/drugs/acnicin-gel-141554,acne-pimples
49,https://www.1mg.com/otc/apifil-lotion-otc294238,acne-pimples
50,https://www.1mg.com/drugs/lacne-gel-232076,acne-pimples
51,https://www.1mg.com/otc/foxtale-combo-pack-of-hydrating-cleanser-100ml-acne-spot-corrector-gel-15ml-and-hydrating-moisturizer-50ml-otc789944,acne-pimples
52,https://www.1mg.com/drugs/tronin-ms-gel-388936,acne-pimples
53,https://www.1mg.com/otc/aimil-purodil-anti-acne-gel-otc274857,acne-pimples
54,https://www.1mg.com/otc/fixderma-salyzap-gel-for-acne-day-time-otc464594,acne-pimples
55,https://www.1mg.com/otc/acnestar-gel-otc358988,acne-pimples
56,https://www.1mg.com/otc/kitava-acne-buster-gel-otc512621,acne-pimples
57,https://www.1mg.com/drugs/clinxa-a-gel-156729,acne-pimples
58,https://www.1mg.com/drugs/nayzit-gel-343177,acne-pimples
59,https://www.1mg.com/otc/baidyanath-jhansi-surakta-tonic-for-pimples-acne-for-females-tonic-otc760447,acne-pimples
60,https://www.1mg.com/otc/azah-acne-patch-with-whitehead-absorbing-hydrocolloid-dots-of-8mm-10mm-and-12mm-size-otc818866,acne-pimples
61,https://www.1mg.com/otc/furr-hydrocolloid-acne-relief-patch-otc785271,acne-pimples
62,https://www.1mg.com/otc/dewderm-cream-otc125378,acne-pimples
63,https://www.1mg.com/otc/foxtale-acne-control-trio-kit-otc804715,acne-pimples
64,https://www.1mg.com/otc/aimil-purodil-anti-acne-gel-otc834273,acne-pimples
65,https://www.1mg.com/otc/derma-angel-day-acne-patch-plus-otc769458,acne-pimples
66,https://www.1mg.com/otc/baidyanath-jhansi-surakta-tonic-for-pimples-acne-for-females-tonic-otc760447,acne-pimples
67,https://www.1mg.com/drugs/cutiwel-gel-332403,acne-pimples
68,https://www.1mg.com/otc/kapiva-tulsi-anti-acne-serum-otc792898,acne-pimples
69,https://www.1mg.com/otc/derma-angel-acne-day-patch-otc769430,acne-pimples
70,https://www.1mg.com/otc/acnedew-anti-acne-anti-pimple-cream-otc750347,acne-pimples
71,https://www.1mg.com/otc/ustraa-anti-acne-spot-gel-15ml-each-reduces-99.9-pimple-causing-germs-otc753871,acne-pimples
72,https://www.1mg.com/otc/derma-angel-acne-night-patch-otc769454,acne-pimples
73,https://www.1mg.com/otc/derma-angel-acne-night-patch-otc769453,acne-pimples
74,https://www.1mg.com/otc/derma-angel-acne-day-patch-otc769429,acne-pimples
75,https://www.1mg.com/drugs/wegamycin-a-gel-266077,acne-pimples
76,https://www.1mg.com/otc/derma-angel-acne-night-patch-otc769455,acne-pimples
77,https://www.1mg.com/otc/derma-angel-night-acne-patch-plus-otc769459,acne-pimples
78,https://www.1mg.com/otc/acnedew-pimple-care-soap-75gm-each-otc821773,acne-pimples
79,https://www.1mg.com/otc/ustraa-anti-acne-combo-pack-of-anti-acne-spot-gel-15ml-face-wash-200gm-otc736976,acne-pimples
80,https://www.1mg.com/otc/maxisoft-ph-balanced-anti-acne-anti-pimple-cream-25gm-each-otc822538,acne-pimples
81,https://www.1mg.com/otc/foxtale-combo-pack-of-hydrating-cleanser-100ml-acne-spot-corrector-gel-15ml-and-hydrating-moisturizer-50ml-otc789944,acne-pimples
82,https://www.1mg.com/otc/xscar-gel-otc496657,acne-pimples
83,https://www.1mg.com/otc/acnedew-pimple-care-soap-75gm-each-otc821774,acne-pimples
84,https://www.1mg.com/otc/satthwa-anti-acne-gel-otc731609,acne-pimples
85,https://www.1mg.com/otc/the-tribe-concepts-acne-spot-corrector-powder-otc779245,acne-pimples
86,https://www.1mg.com/otc/foxtale-acne-control-trio-kit-otc804715,acne-pimples
87,https://www.1mg.com/otc/acnedew-ph-balanced-anti-acne-anti-pimple-cream-25gm-each-otc821769,acne-pimples
88,https://www.1mg.com/otc/pax-naturals-omega-3-softgel-capsule-otc806550,acne-pimples
89,https://www.1mg.com/otc/hegaa-trusted-naturals-dymmb-face-wash-otc740208,acne-pimples
90,https://www.1mg.com/otc/derma-angel-acne-day-patch-otc769431,acne-pimples
91,https://www.1mg.com/otc/blosom-acne-face-treatment-cream-otc751627,acne-pimples
92,https://www.1mg.com/otc/kapiva-tulsi-anti-acne-serum-otc792898,acne-pimples
93,https://www.1mg.com/otc/acnedew-ph-balanced-anti-acne-anti-pimple-cream-25gm-each-otc821770,acne-pimples
94,https://www.1mg.com/otc/conscious-chemist-flashfix-salicylic-acne-treatment-serum-otc727539,acne-pimples
95,https://www.1mg.com/otc/maxisoft-ph-balanced-anti-acne-anti-pimple-cream-25gm-each-otc822539,acne-pimples
96,https://www.1mg.com/otc/foxtale-combo-pack-of-hydrating-cleanser-100ml-acne-spot-corrector-gel-15ml-and-hydrating-moisturizer-50ml-otc789944,acne-pimples
